NUM,Fecha,RIVAL,REB,AST,BLOQ,PTS,Local
1,mar 30/1,@,9,8,1,20,ATL
2,lun 29/1,@,6,10,1,23,HOU2
3,sáb 27/1,@,20,12,0,36,GS
4,jue 25/1,vs,4,12,0,25,CHI2
5,dom 21/1,vs,5,5,0,28,POR
6,vie 19/1,vs,11,5,0,24,BKN
7,mié 17/1,vs,8,8,0,25,DAL2
8,lun 15/1,vs,7,6,0,25,OKC2
9,jue 11/1,vs,5,9,0,10,PHX2
10,mar 9/1,vs,5,12,1,22,TOR
11,dom 7/1,vs,8,7,0,25,LAC
12,vie 5/1,vs,5,7,0,32,MEM
13,mié 3/1,vs,6,9,0,12,MIA
14,dom 31/12,@,5,8,1,34,NO2
15,sáb 30/12,@,3,6,1,26,MIN
16,jue 28/12,vs,4,11,0,17,CHA
17,lun 25/12,vs,9,8,0,16,BOS
18,sáb 23/12,@,7,7,2,40,OKC
19,mié 20/12,@,10,9,2,25,CHI
20,lun 18/12,vs,11,11,0,25,NY
21,vie 15/12,@,7,14,0,23,SA
22,mar 12/12,@,8,9,1,33,DAL
23,sáb 9/12,vs,11,4,0,24,IND
24,jue 7/12,vs,5,8,0,30,NO
25,mar 5/12,vs,8,11,0,31,PHX
26,sáb 2/12,vs,4,7,1,16,HOU
